Name	category	price	rating	review_count
La Contessa	Italian,Desserts,Cocktail Bars	$$	4.0	8
Sun Hong BBQ & Seafood	Barbeque,Seafood,Chinese	$$	3.5	24
WBC Coffee	Cafes,Breakfast & Brunch	$	4.0	11
Renaissance Club	American (New)		4.5	2
Onassis Coney Island	American (New),Breakfast & Brunch	$	4.5	32
Simon’s Prime Hamburgers	Burgers	$	4.0	15
Chrome Bar and Grille	American (New)	$$	3.0	8
Greektown Historic District	Nightlife,Restaurants,Casinos	$$	4.5	7
Cadillac Cafe	Tapas/Small Plates	$$	3.0	14
The Lodge Diner	Diners	$$	3.0	31
Signature Grill	American (Traditional)	$$	2.5	38
Mare Nostrum	Mediterranean,Bars,Burgers		5.0	2
Trinosophes	Coffee & Tea,Breakfast & Brunch	$	4.0	50
Cass Cafe	Vegetarian,Sandwiches,Bars	$$	3.5	221
Wasabi Korean and Japanese Cuisine	Japanese,Korean,Sushi Bars	$$	3.0	231
Armando’s	Mexican	$$	3.0	124
Corktown Tavern	Pubs,Restaurants	$	3.5	26
Fresh Corner Café	Cafes	$	5.0	2
Mi Casita	Salvadoran,Mexican,Vegan	$$	3.5	16
Fourteen	Tapas/Small Plates,Seafood,Steakhouses	$$	3.5	13
Five Guys	Burgers,Fast Food	$	3.5	66
Cuisine	French	$$$	3.5	92
Mexican Town Restaurant	Mexican	$$	3.0	73
Mario’s on Pelissier	Italian	$$	4.5	6
Byblos Cafe & Grill	Seafood,Mediterranean	$	3.5	54
La Bohème	Breakfast & Brunch,French,Coffee & Tea	$$	4.5	24
Hygrade Deli	Delis,Sandwiches	$	4.0	94
World Marathon Ethiopian Restaurant	Ethiopian	$$	3.5	19
Zoup!	Soup,Sandwiches,Salad	$	3.5	12
Carrots N Dates	Vegan,Vegetarian,Gluten-Free	$$	4.5	20
Sweet Lorraine’s Fabulous Mac n’ Brewz	American (Traditional)	$	2.5	62
Hot & Spicy House	Chinese,Seafood,Noodles	$$	4.0	7
Rock Bottom Bar & Grill	Breakfast & Brunch,Sports Bars	$$	4.0	24
O’Magglio’s Kildare House	Bars,Gastropubs	$$	3.5	40
Hikari Restaurant	Japanese,Korean	$$	3.5	22
Mike’s Famous Ham Place	Sandwiches,Delis	$	4.5	44
Bibim To Go	Korean	$$	3.5	15
Urban Soul	American (New)	$$	3.0	50
Woodward Coney Restaurant	Hot Dogs,Burgers,Greek	$	3.5	20
Sports & Social Detroit	Sports Bars,American (Traditional),Cocktail Bars		4.5	7
The DragonFly	Sushi Bars,Asian Fusion	$$	4.0	8
Stathis Grill	Breakfast & Brunch,Greek,Mediterranean	$$	4.5	8
El Paisa Taqueria Truck	Mexican,Food Stands	$	4.5	8
Kagerou Ramen House	Ramen	$$	4.0	1
Heather Bell Fish & Chips	Seafood	$	4.0	10
Potbelly Sandwich Shop	Sandwiches	$	3.0	14
Shin Shin	Chinese	$$	4.0	27
Saigon House	Vietnamese,Thai	$$	3.5	15
PV Lounge	Lounges,Venues & Event Spaces,Seafood	$$$	2.5	10
Bacardi Champions Club	Buffets		5.0	1
Mike’s Kabob Grille	American (Traditional),Middle Eastern,Breakfast & Brunch	$$	3.0	17
Mario’s Restaurant	Italian	$$$	3.0	188
Cottage Inn Pizza	Pizza	$	3.0	14
Ristorante Avanti	Italian	$$	4.5	6
Calabrisella Ristorante	Italian		5.0	3
Frank’s Deli & Grill	American (Traditional),Delis,Breakfast & Brunch	$$	4.0	5
Lady of the House	American (New)	$$$	5.0	3
Mr Fish	Seafood,Seafood Markets	$	4.0	13
MotorCity Casino Buffet	American (Traditional),Buffets	$$	3.5	14
International Mini-Café	Indian	$	4.0	19
Mucci’s Ristorante	Italian,Bars,Barbeque		4.0	4
Sgt. Pepperoni’s	Pizza	$	3.5	48
Steak & Shawarma	Mediterranean	$	4.0	10
Drive Table Tennis Social Club	Sports Clubs,Cocktail Bars,American (New)	$$	3.0	12
Majestic Café	Bars,Breakfast & Brunch	$$	3.5	81
Jimmy John’s	Sandwiches	$	3.5	18
Mexican Village Restaurant	Mexican,Venues & Event Spaces	$$	3.0	154
Nick’s Gaslight Restaurant & Lounge	Restaurants	$$	3.0	16
El-Mayor Restaurant	Lebanese	$$	4.0	19
Social Sushi Detroit	Sushi Bars		4.5	2
River’s Edge Grille	American (Traditional)		3.5	2
Steve’s Downtown & The Key Club	Soul Food	$$	3.5	25
Maya’s Indo-Pak Cuisine	Pakistani,Indian	$$	3.0	43
Impasto - Italian Inspired Wraps	Food Trucks,Italian,Caterers	$	5.0	6
Assembly Line Buffet	Buffets	$$	3.0	42
TJ’s Grillworks	Breakfast & Brunch,American (Traditional)	$	3.0	11
Atomic Chicken - Detroit	Chicken Shop	$$	3.5	20
Coney Town	Fast Food		2.5	9
Relish at Breeze	American (Traditional),Burgers	$	2.5	6
Louie’s Ham And Corned Beef	Diners,Breakfast & Brunch,Sandwiches	$	4.0	69
Sicily’s Pizzeria & Subs	Pizza	$	3.5	28
Mini Restaurant	Vietnamese	$$	4.0	10
Skippy’s Restaurant	American (Traditional),Comfort Food	$$	3.5	10
A Dog’s Breakfast	Breakfast & Brunch,Hot Dogs	$$	3.5	15
Johnny Rockets	Burgers	$$	3.5	14
Rose Garden Chinese Cuisine	Chinese	$$	4.5	8
Mo Better Blues	Jazz & Blues,Soul Food	$	2.0	6
Taste of Indian Tandoori	Indian	$$	4.5	7
Bert’s On Broadway	Lounges,American (Traditional)	$	3.0	4
Ciao Pasta Bar	Italian,Gluten-Free,Do-It-Yourself Food	$$	3.5	12
Mike’s Pizza Bar	Pizza,Sports Bars	$$	5.0	9
Krispy Krunch Chicken	Cajun/Creole,Fast Food,Chicken Wings	$$	3.5	3
PizzaPapalis - Rivertown	Pizza	$$	3.0	35
Brigantino Restaurant	Italian	$$	4.5	3
The Bull & Barrel	Sports Bars,Barbeque,American (Traditional)	$$	3.0	22
Lucky Dragon	Chinese	$	3.0	32
Walker Grill	Canadian (New),Burgers		4.5	2
Pink FlaminGO! Mobile Restaurant	Food Stands	$	4.0	5
The Alley Deck	Bars,Breakfast & Brunch	$$	4.0	10
The Harvest Table	Breakfast & Brunch,Canadian (New)		4.0	5
Q-Tea Bubble Tea	Coffee & Tea,Bubble Tea,Asian Fusion	$$	4.5	2
Bozii	Fast Food	$	3.5	12
Papa’s Pizza & BBQ	Barbeque,Pizza	$	3.5	8
Jade Chinese Cuisine	Caterers,Chinese,Imported Food	$$	3.0	40
Pho Maxim	Vietnamese	$$	3.5	23
Bean’s Ladle	Burgers,Sandwiches,Soup	$$	3.5	6
Guardian Cafe	Coffee & Tea,Breakfast & Brunch	$	4.5	3
The Bourbon Tap & Grill	Pizza,Pubs	$$	4.5	7
Treehouse Bar & Grill	Bars,Canadian (New)	$	4.0	8
Zoom Grill	Greek	$	3.0	10
Take Five Bistro	Seafood,Steakhouses	$$	4.0	12
Papa’s Pizza & BBQ	Pizza,Barbeque		4.0	1
Rice Bowl Express	Chinese	$	2.0	8
Taquería Chilango	Restaurants		4.0	2
Villain’s Beastro	Music Venues,Sandwiches,Bars	$$	4.5	4
Falafel Alsham	Falafel,Middle Eastern	$	5.0	2
AfroCana Tukul	African		4.0	4
China House	Chinese	$	3.5	24
Top China One	Chinese	$	3.5	17
